,precision,recall,f1-score,support
negative,0.9096920851415582,0.8910931174089068,0.900296553839861,4940.0
positive,0.8940527766837337,0.9121961020695198,0.9030333167578319,4977.0
accuracy,0.9016839770091761,0.9016839770091761,0.9016839770091761,0.9016839770091761
macro avg,0.901872430912646,0.9016446097392133,0.9016649352988464,9917.0
weighted avg,0.9018432560405608,0.9016839770091761,0.9016700406849494,9917.0
