Model,Accuracy,Precision,Recall,F1-Score
Linear SVM,0.9034990420490068,0.9016786570743405,0.9065702230259193,0.9041178238653441
Logistic Regression,0.9016839770091761,0.8940527766837337,0.9121961020695198,0.9030333167578319
Naive Bayes,0.8845416960774428,0.8801587301587301,0.8912999799075748,0.8856943196565839
